feature,importance,rank
text__findings,0.029319096,1
text__regarding multiple,0.01262808,2
text__bank america,0.011169691,3
text__similar practices,0.009379994,4
text__fee,0.008585012,5
text__bonus,0.0063114823,6
text__having sufficient,0.004851612,7
text__citibank,0.0038735054,8
text__settled,0.0037654233,9
text__capital,0.0036006381,10
text__practices,0.0034085738,11
text__fees,0.0032005194,12
text__cash app,0.0029205976,13
text__atm,0.0027097813,14
text__td,0.0025601364,15
text__claim,0.002534049,16
text__refunded,0.0023267097,17
text__request investigation,0.002292226,18
text__promotion,0.0022796309,19
text__charges,0.0022244283,20
text__huntington,0.002110486,21
text__charge,0.0020864834,22
text__charged,0.0019976636,23
text__similar,0.001955648,24
text__boa,0.0018307305,25
text__citi,0.0018114576,26
text__robinhood,0.0016714123,27
text__santander,0.0016378427,28
text__restricted,0.001630683,29
text__consumer,0.0014762258,30
text__credit report,0.0014529997,31
text__karma,0.0014445136,32
text__total,0.0014102274,33
text__called,0.0014076194,34
text__laws,0.0014057383,35
text__privacy,0.0013883543,36
text__credited,0.0013851686,37
text__machine,0.0013822276,38
text__complaint navy,0.0013738162,39
text__returned,0.001370568,40
text__bofa,0.001345822,41
text__tax refund,0.0013371053,42
text__refund,0.0013227557,43
text__card information,0.0013184211,44
text__credit karma,0.0012951858,45
text__charging,0.0012778016,46
text__immediately called,0.0012715466,47
text__identity,0.0012677436,48
text__cashapp,0.0012613902,49
text__days,0.0012357895,50
text__provisional,0.0012291066,51
text__access,0.0012067053,52
text__image,0.0012001126,53
text__chime account,0.0011872993,54
text__netspend,0.0011864426,55
text__verification,0.0011819485,56
text__chime,0.0011711845,57
text__citizens,0.0011641305,58
text__open,0.001163171,59
text__ssn,0.0011547358,60
text__link,0.0011398097,61
text__reporting,0.0011377076,62
text__noticed,0.0011112972,63
text__transactions,0.0011053734,64
text__cashing,0.0010996677,65
text__truist,0.0010869547,66
text__axos,0.0010782577,67
text__reason,0.001078206,68
text__power,0.0010615122,69
text__legal,0.0010600149,70
text__police report,0.001059496,71
text__power attorney,0.0010453453,72
text__posted,0.00104446,73
text__verify,0.0010228682,74
text__optum,0.0010171533,75
text__release,0.0010134446,76
text__saw,0.0010113359,77
text__marcus,0.0010089454,78
text__td bank,0.0010016508,79
text__fraudulent transactions,0.0010013566,80
text__checks deposited,0.0009901486,81
text__debit,0.0009759214,82
text__security number,0.00097101764,83
text__rights,0.0009684229,84
text__outstanding balance,0.00096187997,85
text__locked,0.00095820596,86
text__bank capital,0.00095721515,87
text__open account,0.0009546228,88
text__did open,0.00094674784,89
text__near,0.00094670843,90
text__open bank,0.00094666245,91
text__booked,0.00094158005,92
text__hsbc,0.0009364981,93
text__ex,0.00092663086,94
text__square,0.00092526665,95
text__restriction,0.00090929534,96
text__need verify,0.000908844,97
text__settlement,0.00090831885,98
text__reopen,0.0009068495,99
text__express,0.00090067904,100
text__albert,0.0008995317,101
text__violated,0.0008993579,102
text__jpmorgan,0.00089382957,103
text__frozen,0.00089333893,104
text__application,0.0008889521,105
text__goldman,0.00088881166,106
text__reversed,0.0008801259,107
text__lied,0.0008764658,108
text__zelle,0.0008737892,109
text__bb,0.00087105425,110
text__credit reports,0.0008698626,111
text__inaccurate,0.00086870283,112
text__settle,0.0008658837,113
text__withdraw funds,0.00086579396,114
text__bank atm,0.0008639334,115
text__compromised,0.00085956184,116
text__significant,0.00085662823,117
text__check clear,0.00084803003,118
text__month,0.00084479747,119
text__rollover,0.0008407603,120
text__dear,0.0008366907,121
text__fifth,0.0008304289,122
text__prompt attention,0.000825079,123
text__temporary credit,0.0008187504,124
text__active,0.00081791397,125
text__couldn access,0.00081781775,126
text__temporary,0.0008116063,127
text__fargo debit,0.0008112646,128
text__irs,0.00080761925,129
text__deposited check,0.0008057789,130
text__necessary documents,0.00080187904,131
text__loan,0.00079927716,132
text__corporate,0.0007986335,133
text__continuing,0.0007984629,134
text__transaction,0.00079727586,135
text__chase,0.0007934609,136
text__remember,0.0007906899,137
text__prevention,0.0007862079,138
text__tax,0.0007819785,139
text__bank statements,0.00077988,140
text__investments,0.0007794792,141
text__miles,0.00077684433,142
text__access money,0.0007762407,143
text__capital bank,0.0007761065,144
text__brand,0.0007755031,145
text__sell,0.0007750394,146
text__lack transparency,0.0007746404,147
text__personal information,0.0007740551,148
text__late fees,0.0007730398,149
text__executive office,0.0007715694,150
text__charge overdraft,0.0007704729,151
text__bank accounts,0.0007693941,152
text__chase account,0.00076628034,153
text__credit reporting,0.00076611637,154
text__stay,0.00076551375,155
text__government issued,0.00076456444,156
text__totally,0.0007630683,157
text__hacked,0.0007622644,158
text__blocked,0.00076077355,159
text__conduct,0.00076021405,160
text__bills,0.00075978966,161
text__preventing,0.0007577742,162
text__members,0.0007576335,163
text__deposit check,0.0007567491,164
text__normal,0.00075660675,165
text__connect,0.0007561039,166
text__discrimination,0.0007534583,167
text__steps,0.00075250404,168
text__explanation,0.00075139484,169
text__ally,0.0007506359,170
text__pnc,0.0007505057,171
text__blocks,0.000748903,172
text__lead,0.0007475465,173
text__thats,0.00074602553,174
text__represents,0.0007406735,175
text__member,0.00073712575,176
text__discovered unauthorized,0.0007360487,177
text__dispute bank,0.0007359647,178
text__companies,0.0007349813,179
text__united,0.00073480175,180
text__assets,0.00073243695,181
text__withdrawals,0.0007316803,182
text__faxed,0.0007315932,183
text__met,0.00073069666,184
text__equity,0.0007300245,185
text__gambling,0.00072946656,186
text__chime bank,0.00072825036,187
text__law,0.0007266323,188
text__consent,0.00072619104,189
text__fraudulent accounts,0.0007260805,190
text__executive,0.0007249398,191
text__email address,0.0007234811,192
text__unfrozen,0.0007228855,193
text__ability open,0.00072170293,194
text__refer,0.00072102615,195
text__submitting complaint,0.0007197629,196
text__membership,0.0007175202,197
text__account restricted,0.00071742065,198
text__citi bank,0.00071697513,199
text__requests,0.00071649626,200
text__trust account,0.00071460323,201
text__immediate attention,0.000713219,202
text__transfered,0.00070712925,203
text__card stolen,0.00070622575,204
text__associated,0.0007043569,205
text__emails,0.0007033978,206
text__audit,0.0007033237,207
text__merchants,0.0007023674,208
text__account abuse,0.0007018808,209
text__chase bank,0.00070143107,210
text__online savings,0.00070132385,211
text__validation,0.000700991,212
text__properly,0.0007004579,213
text__hsa,0.00069987494,214
text__stop payment,0.0006997442,215
text__login,0.00069938455,216
text__information,0.0006977732,217
text__owner,0.0006976436,218
text__closure,0.0006973377,219
text__wait days,0.00069617503,220
text__wife,0.00069608475,221
text__pin,0.000695018,222
text__property,0.0006946825,223
text__usaa,0.00069467956,224
text__account opened,0.00069268525,225
text__unexpected,0.00069256726,226
text__overdraft,0.0006922435,227
text__bureaus,0.0006910681,228
text__morning,0.0006901847,229
text__return money,0.0006900542,230
text__immediately,0.0006899277,231
text__accuracy,0.00068944664,232
text__proof address,0.0006878849,233
text__account log,0.0006875207,234
text__family,0.0006870186,235
text__know contact,0.0006857683,236
text__complaint regarding,0.00068433635,237
text__closed fraud,0.0006836243,238
text__dangerous,0.0006826272,239
text__disputes,0.0006823138,240
text__birth,0.0006817359,241
text__desk,0.00068067166,242
text__needs,0.00068006606,243
text__account transferred,0.0006798216,244
text__buy,0.00067792693,245
text__fargos,0.00067741214,246
text__company asked,0.0006765219,247
text__fifth bank,0.0006764694,248
text__honestly,0.0006760843,249
text__instructions,0.00067516835,250
text__related,0.00067497545,251
text__consumer report,0.00067487016,252
text__short,0.0006747811,253
text__early warning,0.000674483,254
text__kind,0.0006744408,255
text__blocked account,0.000673489,256
text__wont,0.0006720138,257
text__phone conversation,0.00067135243,258
text__totaling,0.00067085586,259
text__ceo,0.0006707952,260
text__file dispute,0.0006697958,261
text__months,0.0006670776,262
text__chase atm,0.0006669288,263
text__improper,0.00066657463,264
text__got money,0.0006663173,265
text__chase fraud,0.0006642599,266
text__funds available,0.00066373975,267
text__agencies,0.00066336367,268
text__fraudster,0.00066289445,269
text__opportunity,0.0006619305,270
text__threats,0.00066143344,271
text__head,0.0006611839,272
text__wells fargo,0.00066110457,273
text__validate,0.00066079583,274
text__sofi,0.00065928017,275
text__past,0.00065924117,276
text__discovered,0.00065840664,277
text__transactions account,0.000658245,278
text__certificate,0.00065670226,279
text__wrong person,0.00065625156,280
text__mediation,0.00065610954,281
text__bank error,0.00065573095,282
text__payment pay,0.00065571535,283
text__try use,0.000655577,284
text__look account,0.00065408077,285
text__suppose,0.00065083546,286
text__reported credit,0.0006494706,287
text__unlock,0.00064736133,288
text__tried open,0.000646557,289
text__locking account,0.0006463208,290
text__denial claim,0.00064629345,291
text__risk,0.00064531673,292
text__forth,0.00064508925,293
text__didnt know,0.00064496516,294
text__account wells,0.00064383895,295
